,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
627,"(0, 1)",0,1,466.160512425,46,11,-0.2432497577747717,-0.08596880499093766,0.8831556688884603,378.21209716796875,253.76707458496094,411.116455078125,277.66864013671875,380.1620839612842,253.91198515705048,411.0813541400591,277.54405676155176
628,"(0, 2)",0,2,466.15947382499996,46,2,-0.08670466351483028,-0.084880140799246,0.8765971604982347,470.43212890625,253.69215393066406,636.615966796875,133.1058349609375,470.5198895309774,253.65262842094114,635.2887846866519,134.73308967477786
629,"(0, 2)",0,2,466.15947382499996,46,3,-0.1367011295740452,0.003907102638056452,0.9300257771388211,446.1439208984375,306.2459411621094,595.3013916015625,186.7657470703125,446.4907416921393,306.1010584337756,595.0039419461182,187.11372124300044
630,"(0, 2)",0,2,466.15947382499996,46,4,-0.13960860103096298,-0.03976790672694022,0.90217116221609,442.00299072265625,281.36846923828125,601.9678955078125,159.4783935546875,442.3447104984766,281.302289549196,601.4481692410952,160.24815384550163
631,"(0, 2)",0,2,466.15947382499996,46,5,-0.1393999785799889,-0.08644542174655359,0.8767147205279354,439.73406982421875,253.78318786621094,609.9168701171875,128.46725463867188,440.1198245113293,253.79815042299074,609.0577156768469,129.97162693204373
632,"(0, 2)",0,2,466.15947382499996,46,7,-0.19148094017394382,-0.04239599986495417,0.9053517710894138,412.6461181640625,280.6617431640625,574.6415405273438,155.44036865234375,413.5361459803829,280.55964926802176,574.3851667435542,156.13740382237802
633,"(0, 2)",0,2,466.15947382499996,46,8,-0.1888308295745138,-0.08662404491331158,0.8782191147214436,410.39300537109375,253.25302124023438,583.83935546875,126.27645874023438,411.3472633417747,253.33430003518083,583.3465192758343,127.65975119644938
634,"(0, 2)",0,2,466.15947382499996,46,10,-0.2431796307013464,-0.0397673640262888,0.9043313695770507,382.428955078125,282.29486083984375,547.6097412109375,154.4463653564453,384.23298574217654,282.1153427235084,547.550548971687,155.09013969583913
635,"(0, 2)",0,2,466.15947382499996,46,11,-0.24211232840950106,-0.08566263725527619,0.8771045720515692,378.21209716796875,253.76707458496094,555.283447265625,123.48258972167969,380.1620839612842,253.91198515705048,555.1080661895651,124.8291314147229
636,"(1, 2)",1,2,466.1600558,46,0,-0.08698809177284184,0.004418801356194552,0.9306031711583281,584.1334838867188,390.8279724121094,619.3468627929688,188.70957946777344,584.1290527411126,390.7674239240396,618.7786575960931,189.1645887272275
637,"(1, 2)",1,2,466.1600558,46,1,-0.08765171661956798,-0.041222362864098784,0.904510520444882,583.9215087890625,333.7952575683594,627.7554321289062,160.3258056640625,583.9699480844484,333.7497378571926,626.8506182350661,161.27032800401616
638,"(1, 2)",1,2,466.1600558,46,2,-0.089333936354878,-0.08317681522069297,0.87285964137454,584.0577392578125,276.2791748046875,636.615966796875,133.1058349609375,584.1729565634952,276.124724559222,635.2887846866519,134.73308967477786
639,"(1, 2)",1,2,466.1600558,46,3,-0.13851877415756955,0.005394013031546595,0.9307959482716562,527.0972900390625,392.1686706542969,595.3013916015625,186.7657470703125,527.0909955584136,392.13163945630953,595.0039419461182,187.11372124300044
640,"(1, 2)",1,2,466.1600558,46,4,-0.14057003640947896,-0.03877863562258362,0.9033364429216972,525.6942749023438,335.15899658203125,601.9678955078125,159.4783935546875,525.7000191599192,335.1528106876554,601.4481692410952,160.24815384550163
641,"(1, 2)",1,2,466.1600558,46,5,-0.1392940169490481,-0.08646973308148878,0.8808463891073661,527.139404296875,277.4610290527344,609.9168701171875,128.46725463867188,527.1709983126946,277.35990770776004,609.0577156768469,129.97162693204373
642,"(1, 2)",1,2,466.1600558,46,6,-0.19019210219932473,0.004720221799030634,0.9327052624109874,469.35894775390625,392.4749450683594,569.5762329101562,184.36000061035156,469.3871446671844,392.42492431272495,569.4533879173215,184.63602817476493
643,"(1, 2)",1,2,466.1600558,46,7,-0.189763459603401,-0.043351741557979766,0.9132586045047312,470.00640869140625,335.4969177246094,574.6415405273438,155.44036865234375,470.007169608292,335.4886605251172,574.3851667435542,156.13740382237802
644,"(1, 2)",1,2,466.1600558,46,8,-0.19186466199464336,-0.08363077361423067,0.8767946929868097,468.7557373046875,277.4678649902344,583.83935546875,126.27645874023438,468.73788958804414,277.37546961737746,583.3465192758343,127.65975119644938
645,"(1, 2)",1,2,466.1600558,46,9,-0.2416458657467004,0.0021088268892664073,0.9405990985995596,411.64569091796875,393.42584228515625,541.4793701171875,181.6085205078125,411.7391775465736,393.32277806719543,541.4719350650083,181.866498766904
