,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
592,592,dropped,249101.5932709,249101.56833689997
593,593,dropped,dropped,249101.60243255
594,594,dropped,249101.73179455003,249101.70213255
595,595,dropped,249101.73179455003,249101.70213255
596,596,dropped,249101.73179455003,249101.70213255
597,597,249101.73921929998,dropped,249101.73523504997
598,598,249101.845634,dropped,249101.8351947
599,599,249101.845634,dropped,249101.8351947
600,600,249101.845634,dropped,249101.8351947
601,601,dropped,249101.86269945,249101.8680222
602,602,dropped,dropped,249101.90215235
603,603,dropped,249101.99342695,249101.96847615
604,604,dropped,249101.99342695,249101.96847615
605,605,dropped,dropped,249102.0015705
606,606,dropped,249102.13159655,249102.1013238
607,607,dropped,249102.13159655,249102.1013238
608,608,dropped,249102.13159655,249102.1013238
609,609,249102.13930009998,dropped,249102.13531520002
610,610,249102.2458522,dropped,249102.23533915
611,611,249102.2458522,dropped,249102.23533915
612,612,249102.2458522,dropped,249102.23533915
613,613,dropped,249102.2628281,249102.2678866
614,614,dropped,dropped,249102.3017812
615,615,dropped,249102.3930267,249102.36893345
616,616,dropped,249102.3930267,249102.36893345
617,617,dropped,dropped,249102.40174529998
618,618,dropped,dropped,249102.46853060002
619,619,dropped,249102.53159055,249102.50149905
620,620,dropped,249102.53159055,249102.50149905
621,621,249102.53950945,dropped,249102.53536744998
622,622,249102.64551755,dropped,249102.63556275
623,623,249102.64551755,dropped,249102.63556275
624,624,249102.64551755,dropped,249102.63556275
625,625,dropped,249102.66252915002,249102.6683528
626,626,dropped,dropped,249102.70238045
627,627,dropped,249102.7933634,249102.7686116
628,628,dropped,249102.7933634,249102.7686116
629,629,dropped,dropped,249102.80136675
630,630,dropped,dropped,249102.86774345
631,631,dropped,249102.9318429,249102.9016615
632,632,dropped,249102.9318429,249102.9016615
633,633,249102.93931669998,dropped,249102.93550895
634,634,249103.0456067,dropped,249103.0349821
635,635,249103.0456067,dropped,249103.0349821
636,636,249103.0456067,dropped,249103.0349821
637,637,dropped,249103.06267735,249103.0688137
638,638,dropped,dropped,249103.1010522
639,639,dropped,249103.1931912,249103.16830010002
